CELL, rnc, site, sec, maxpwr(rnc), zaresmoc(rbs), zaresmoc+kabel+asc, pilot, kabel, pilot+kabel, rbsid, asc, ret, maxtilt, tilt, mechanical, bazna, sect, antena
MBTEHE 11 MBTEH 2 409 405 428 285 23 310 274 1 1 60 40 0 RBS3206M S2C2 5
MCENTEA 11 MCENTE 1 399 395 428 255 33 290 85 1 1 80 30 0 RBS3216 S1C1 2
MCENTEB 11 MCENTE 2 405 401 428 261 27 290 85 1 1 80 30 0 RBS3216 S2C1 2
MCENTEC 11 MCENTE 3 401 397 428 257 31 290 85 1 1 80 30 0 RBS3216 S3C1 2
MCENTED 11 MCENTE 1 399 395 428 265 33 300 85 1 1 80 30 0 RBS3216 S1C2 2
MCENTEE 11 MCENTE 2 405 401 428 271 27 300 85 1 1 80 30 0 RBS3216 S2C2 2
MCENTEF 11 MCENTE 3 401 397 428 267 31 300 85 1 1 80 30 0 RBS3216 S3C2 2
MDOGOSA 11 MDOGOS 1 405 401 429 270 28 300 306 1 0 60 0 0 RBS3202 S1C1 3
MDOGOSC 11 MDOGOS 3 405 401 429 260 28 290 306 1 0 60 0 0 RBS3202 S3C1 3
MDUSIKA 11 MDUSIK 1 396 392 423 287 31 320 10 1 0 80 0 0 RBS3202 S1C1 2
MDUSIKB 11 MDUSIK 2 398 394 423 289 29 320 10 1 0 80 0 0 RBS3202 S2C1 2
MDUSIKC 11 MDUSIK 3 393 389 423 284 34 320 10 1 0 80 0 0 RBS3202 S3C1 2
MELTALA 11 MELTAL 1 414 410 428 270 18 290 183 1 1 80 20 0 RBS3206M S1C1 2
MELTALB 11 MELTAL 2 414 410 428 270 18 290 183 1 1 80 60 0 RBS3206M S2C1 2
MELTALC 11 MELTAL 3 414 410 428 270 18 290 183 1 1 80 20 0 RBS3206M S3C1 2
MELTALD 11 MELTAL 1 414 410 428 280 18 300 183 1 1 80 20 0 RBS3206M S1C2 2
MELTALE 11 MELTAL 2 414 410 428 280 18 300 183 1 1 80 60 0 RBS3206M S2C2 2
MELTALF 11 MELTAL 3 414 410 428 280 18 300 183 1 1 80 20 0 RBS3206M S3C2 2
MERKURA 11 MERKUR 1 411 407 446 259 39 300 140 1 1 60 40 0 RBS3206 S1C1 3
MERKURB 11 MERKUR 2 411 407 446 259 39 300 140 1 1 60 30 0 RBS3206 S2C1 3
MERKURC 11 MERKUR 3 411 407 446 259 39 300 140 1 1 60 10 0 RBS3206 S3C1 3
MGDA 11 MGD 1 398 394 423 259 29 290 95 1 1 60 50 0 RBS3202 S1C1 5
MGDB 11 MGD 2 398 394 423 259 29 290 95 1 1 60 40 0 RBS3202 S2C1 5
MGDC 11 MGD 3 398 394 423 279 29 310 95 1 1 60 60 0 RBS3202 S3C1 5
MHABAKA 11 MHABAK 1 396 392 430 252 38 292 96 0 0 80 0 0 RBS3206M S1C1 4
MHABAKB 11 MHABAK 2 388 384 430 274 46 322 96 0 0 80 0 0 RBS3206M S2C1 4
MHABAKD 11 MHABAK 1 396 392 430 262 38 302 96 0 0 80 0 0 RBS3206M S1C2 4
MHABAKE 11 MHABAK 2 388 384 430 274 46 322 96 0 0 80 0 0 RBS3206M S2C2 4
MHERMEA 11 MHERME 1 399 395 423 270 28 300 97 1 1 80 50 0 RBS3202 S1C1 2
MHERMEB 11 MHERME 2 398 394 422 270 28 300 97 1 1 80 20 0 RBS3202 S2C1 2
MHERMEC 11 MHERME 3 398 394 422 270 28 300 97 1 1 80 10 0 RBS3202 S3C1 2
MHOCEA 11 MHOCE 1 399 395 423 280 28 310 27 1 1 60 30 0 RBS3202 S1C1 5
MHOCEB 11 MHOCE 2 399 395 423 280 28 310 27 1 1 60 40 0 RBS3202 S2C1 5
MIKLAA 11 MIKLA 1 399 395 423 280 28 310 125 1 1 80 20 0 RBS3202 S1C1 2
MIKLAB 11 MIKLA 2 399 395 423 280 28 310 125 1 1 80 20 0 RBS3202 S2C1 2
MIKLAC 11 MIKLA 3 399 395 423 280 28 310 125 1 1 80 20 0 RBS3202 S3C1 2
MIKLASA 11 MIKLAS 1 398 394 423 279 29 310 82 1 1 60 20 0 RBS3202 S1C1 3
MIKLASB 11 MIKLAS 2 398 394 423 269 29 300 82 1 1 60 10 0 RBS3202 S2C1 3
MIKLASC 11 MIKLAS 3 398 394 423 269 29 300 82 1 1 80 10 0 RBS3202 S3C1 2
MIZUMA 11 MIZUM 1 404 400 428 270 28 300 94 1 1 80 10 0 RBS3206M S1C1 2
MIZUMB 11 MIZUM 2 404 400 428 260 28 290 94 1 1 80 40 0 RBS3206M S2C1 2
MIZUMC 11 MIZUM 3 404 400 428 260 28 290 94 1 1 80 20 0 RBS3206M S3C1 2
MIZUMD 11 MIZUM 1 404 400 428 280 28 310 94 1 1 80 10 0 RBS3206M S1C2 2
MIZUME 11 MIZUM 2 404 400 428 270 28 300 94 1 1 80 40 0 RBS3206M S2C2 2
MIZUMF 11 MIZUM 3 404 400 428 270 28 300 94 1 1 80 20 0 RBS3206M S3C2 2
MLIMBUA 11 MLIMBU 1 398 394 423 279 29 310 205 1 1 60 10 0 RBS3202 S1C1 3
MLIMBUB 11 MLIMBU 2 398 394 423 299 29 330 205 1 1 60 30 0 RBS3202 S2C1 3
MLIMBUC 11 MLIMBU 3 398 394 423 269 29 300 205 1 1 60 50 0 RBS3202 S3C1 3
MLIMCEA 11 MLIMCE 1 425 421 444 275 23 300 275 1 1 80 0 0 RBS3206M S1C1 2
