cell rnc site sec maxpwr(rnc) zaresmoc(rbs) zaresmoc+kabel+asc pilot kabel pilot+kabel rbsid asc ret maxtilt tilt mechanical bazna sect antena pildbpa
AVLADAB 21 AVLADA 2 412 407 430 287 21 310 33 1 1 80 50 0 RBS6201V2W S2C1 2 120
AVLADAC 21 AVLADA 3 412 407 430 287 21 310 33 1 1 80 30 0 RBS6201V2W S3C1 2 120
AVLADAD 21 AVLADA 1 411 407 430 264 21 287 33 1 1 80 70 0 RBS6201V2W S1C2 2 143
AVLADAE 21 AVLADA 2 411 407 430 264 21 287 33 1 1 80 50 0 RBS6201V2W S2C2 2 143
AVLADAF 21 AVLADA 3 411 407 430 264 21 287 33 1 1 80 30 0 RBS6201V2W S3C2 2 143
AVRHOA 21 AVRHO 1 405 401 430 281 27 310 146 1 1 60 40 0 RBS6201V2W S1C1 5 120
AVRHOB 21 AVRHO 2 405 401 430 281 27 310 146 1 1 60 30 0 RBS6201V2W S2C1 5 120
AVRHOC 21 AVRHO 3 405 401 430 281 27 310 146 1 1 60 30 0 RBS6201V2W S3C1 5 120
AVRHOD 21 AVRHO 1 405 401 430 252 27 281 146 1 1 60 40 0 RBS6201V2W S1C2 5 149
AVRHOE 21 AVRHO 2 405 401 430 252 27 281 146 1 1 60 30 0 RBS6201V2W S2C2 5 149
AVRHOF 21 AVRHO 3 405 401 430 252 27 281 146 1 1 60 30 0 RBS6201V2W S3C2 5 149
AVRHOVA 21 AVRHOV 1 401 399 430 277 31 308 13 0 0 80 0 0 RBS6201V2W S1C1 2 122
AVRHOVB 21 AVRHOV 2 401 399 430 277 31 308 13 0 0 80 0 0 RBS6201V2W S2C1 2 122
AVRHOVC 21 AVRHOV 3 401 399 430 277 31 308 13 0 0 80 0 0 RBS6201V2W S3C1 2 122
AVRHOVD 21 AVRHOV 1 401 399 430 282 31 313 13 0 0 80 0 0 RBS6201V2W S1C2 2 117
AVRHOVE 21 AVRHOV 2 401 399 430 282 31 313 13 0 0 80 0 0 RBS6201V2W S2C2 2 117
AVRHOVF 21 AVRHOV 3 401 399 430 282 31 313 13 0 0 80 0 0 RBS6201V2W S3C2 2 117
AZADOBA 21 AZADOB 1 416 412 431 281 17 300 41 1 1 60 30 0 RBS3202 S1C1 5 131
AZADOBB 21 AZADOB 2 417 413 431 282 16 300 41 1 1 60 30 0 RBS3202 S2C1 5 131
AZADOBC 21 AZADOB 3 420 416 431 285 13 300 41 1 1 60 30 0 RBS3202 S3C1 5 131
AZALOGA 21 AZALOG 1 425 421 448 273 25 300 55 1 1 60 10 0 RBS3206 S1C1 3 148
AZALOGB 21 AZALOG 2 433 429 448 291 17 310 55 1 1 60 20 0 RBS3206 S2C1 3 138
AZALOGC 21 AZALOG 3 425 421 448 273 25 300 55 1 1 60 20 0 RBS3206 S3C1 3 148
AZALOGD 21 AZALOG 1 423 419 446 283 25 310 55 1 1 60 10 0 RBS3206 S1C2 3 136
AZALOGE 21 AZALOG 2 431 427 446 296 17 315 55 1 1 60 20 0 RBS3206 S2C2 3 131
AZALOGF 21 AZALOG 3 423 419 446 283 25 310 55 1 1 60 20 0 RBS3206 S3C2 3 136
AZAPUZA 21 AZAPUZ 1 408 403 430 263 25 290 227 1 1 60 50 0 RBS3206 S1C1 5 140
AZAPUZB 21 AZAPUZ 2 408 403 430 263 25 290 227 1 1 60 50 0 RBS3206 S2C1 5 140
AZAPUZC 21 AZAPUZ 3 408 403 430 263 25 290 227 1 1 60 40 0 RBS3206 S3C1 5 140
AZAPUZD 21 AZAPUZ 1 408 403 430 273 25 300 227 1 1 60 50 0 RBS3206 S1C2 5 130
AZAPUZE 21 AZAPUZ 2 408 403 430 273 25 300 227 1 1 60 50 0 RBS3206 S2C2 5 130
AZAPUZF 21 AZAPUZ 3 408 403 430 273 25 300 227 1 1 60 40 0 RBS3206 S3C2 5 130
AZELEZA 21 AZELEZ 1 407 403 430 278 25 305 291 1 1 60 40 0 RBS3206 S1C1 5 125
AZELEZB 21 AZELEZ 2 405 401 430 276 27 305 291 1 1 60 40 0 RBS3206 S2C1 5 125
AZELEZC 21 AZELEZ 3 405 401 430 276 27 305 291 1 1 60 60 0 RBS3206 S3C1 5 125
AZELEZD 21 AZELEZ 1 408 403 430 288 25 315 291 1 1 60 40 0 RBS3206 S1C2 5 115
AZELEZE 21 AZELEZ 2 406 401 430 286 27 315 291 1 1 60 40 0 RBS3206 S2C2 5 115
AZELEZF 21 AZELEZ 3 406 401 430 286 27 315 291 1 1 60 60 0 RBS3206 S3C2 5 115
AZIMAA 21 AZIMA 1 406 402 431 271 27 300 34 1 1 60 50 0 RBS3202 S1C1 5 131
AZIMAB 21 AZIMA 2 406 402 431 261 27 290 34 1 1 60 40 0 RBS3202 S2C1 5 141
AZIMAC 21 AZIMA 3 406 402 431 271 27 300 34 1 1 60 20 0 RBS3202 S3C1 5 131
AZITOA 21 AZITO 1 413 409 446 263 35 300 74 1 1 80 20 0 RBS3206 S1C1 2 146
AZITOB 21 AZITO 2 412 408 446 272 36 310 74 1 1 80 40 0 RBS3206 S2C1 2 136
AZITOC 21 AZITO 3 423 419 446 273 25 300 74 1 1 80 30 0 RBS3206 S3C1 2 146
AZITOD 21 AZITO 1 413 409 446 273 35 310 74 1 1 80 20 0 RBS3206 S1C2 2 136
AZITOE 21 AZITO 2 412 408 446 277 36 315 74 1 1 80 40 0 RBS3206 S2C2 2 131
AZITOF 21 AZITO 3 423 419 446 283 25 310 74 1 1 80 30 0 RBS3206 S3C2 2 136
AZITOTA 21 AZITOT 1 411 407 430 277 23 300 137 0 0 60 0 0 RBS6201V2W S1C1 5 130
AZITOTB 21 AZITOT 2 411 407 430 277 23 300 137 0 0 60 0 0 RBS6201V2W S2C1 5 130
AZITOTC 21 AZITOT 3 411 407 430 277 23 300 137 0 0 60 0 0 RBS6201V2W S3C1 5 130
AZITOTD 21 AZITOT 1 411 407 430 277 23 300 137 0 0 60 0 0 RBS6201V2W S1C2 5 130
AZITOTE 21 AZITOT 2 411 407 430 277 23 300 137 0 0 60 0 0 RBS6201V2W S2C2 5 130
AZITOTF 21 AZITOT 3 411 407 430 277 23 300 137 0 0 60 0 0 RBS6201V2W S3C2 5 130
AZURA 21 AZUR 1 413 411 430 281 19 300 276 0 0 60 0 0 RBS6201V2W S1C1 5 130
AZURB 21 AZUR 2 413 411 430 281 19 300 276 0 0 60 0 0 RBS6201V2W S2C1 5 130
AZURC 21 AZUR 3 413 411 430 281 19 300 276 0 0 60 0 0 RBS6201V2W S3C1 5 130
AZURD 21 AZUR 1 413 411 430 286 19 305 276 0 0 60 0 0 RBS6201V2W S1C2 5 125
AZURE 21 AZUR 2 413 411 430 286 19 305 276 0 0 60 0 0 RBS6201V2W S2C2 5 125
AZURF 21 AZUR 3 413 411 430 286 19 305 276 0 0 60 0 0 RBS6201V2W S3C2 5 125
CANDRAA 11 CANDRA 1 405 401 425 286 22 310 386 1 0 60 0 0 RBS3202 S1C1 3 115
CANDRAB 11 CANDRA 2 405 401 425 286 22 310 386 1 0 60 0 0 RBS3202 S2C1 3 115
CANDRAC 11 CANDRA 3 405 401 425 286 22 310 386 1 0 60 0 0 RBS3202 S3C1 3 115
CARJAA 11 CARJA 1 401 397 425 282 26 310 128 1 0 60 0 0 RBS3202 S1C1 3 115
CARJAB 11 CARJA 2 409 405 433 292 26 320 128 1 0 60 0 0 RBS3202 S2C1 3 113
CATOMA 11 CATOM 1 400 396 425 281 27 310 36 1 0 60 0 0 RBS3202 S1C1 5 115
CATOMB 11 CATOM 2 400 396 425 281 27 310 36 1 0 60 0 0 RBS3202 S2C1 5 115
CDECKOA 11 CDECKO 1 415 411 430 281 17 300 211 1 1 80 40 0 RBS3206M S1C1 2 130
CDECKOB 11 CDECKO 2 415 411 430 261 17 280 211 1 1 80 40 0 RBS3206M S2C1 2 150
CDECKOC 11 CDECKO 3 415 411 430 281 17 300 211 1 1 80 20 0 RBS3206M S3C1 2 130
CDECKOD 11 CDECKO 1 416 411 430 291 17 310 211 1 1 80 40 0 RBS3206M S1C2 2 120
CDECKOE 11 CDECKO 2 416 411 430 271 17 290 211 1 1 80 40 0 RBS3206M S2C2 2 140
CDECKOF 11 CDECKO 3 416 411 430 291 17 310 211 1 1 80 20 0 RBS3206M S3C2 2 120
CDOBRA 11 CDOBR 1 391 387 425 272 36 310 51 1 0 60 0 0 RBS3202 S1C1 3 115
CDOBRB 11 CDOBR 2 391 387 425 272 36 310 51 1 0 60 0 0 RBS3202 S2C1 3 115
CDOBRC 11 CDOBR 3 391 387 425 272 36 310 51 1 0 60 0 0 RBS3202 S3C1 3 115
CDRAMA 11 CDRAM 1 409 405 425 280 18 300 100 1 0 60 0 0 RBS3202 S1C1 5 125
CDRAMB 11 CDRAM 2 409 405 425 290 18 310 100 1 0 60 0 0 RBS3202 S2C1 5 115
CEAMZSA 11 CEAMZS 1 397 393 425 258 30 290 57 1 1 80 40 0 RBS3202 S1C1 2 135
CEAMZSB 11 CEAMZS 2 397 393 425 278 30 310 57 1 1 80 50 0 RBS3202 S2C1 2 115
CEAMZSC 11 CEAMZS 3 397 393 425 278 30 310 57 1 1 80 20 0 RBS3202 S3C1 2 115
CELEKTA 11 CELEKT 1 403 399 430 259 29 290 242 1 1 60 20 0 RBS3216 S1C1 3 140
CELEKTB 11 CELEKT 2 403 399 430 259 29 290 242 1 1 60 60 0 RBS3216 S2C1 3 140
CELEKTC 11 CELEKT 3 403 399 430 269 29 300 242 1 1 60 30 0 RBS3216 S3C1 3 130
CELEKTD 11 CELEKT 1 403 399 430 269 29 300 242 1 1 60 20 0 RBS3216 S1C2 3 130
CELEKTE 11 CELEKT 2 403 399 430 269 29 300 242 1 1 60 60 0 RBS3216 S2C2 3 130
CELEKTF 11 CELEKT 3 403 399 430 279 29 310 242 1 1 60 30 0 RBS3216 S3C2 3 120
CELJEA 11 CELJE 1 417 413 448 265 33 300 102 1 1 80 40 0 RBS3206 S1C1 2 148
CELJEB 11 CELJE 2 429 425 448 277 21 300 102 1 1 80 20 0 RBS3206 S2C1 2 148
CELJEC 11 CELJE 3 419 415 448 267 31 300 102 1 1 80 20 0 RBS3206 S3C1 2 148
CELJED 11 CELJE 1 415 411 446 275 33 310 102 1 1 80 40 0 RBS3206 S1C2 2 136
CELJEE 11 CELJE 2 427 423 446 287 21 310 102 1 1 80 20 0 RBS3206 S2C2 2 136
CELJEF 11 CELJE 3 417 413 446 277 31 310 102 1 1 80 20 0 RBS3206 S3C2 2 136
CEROVA 11 CEROV 1 401 397 425 302 26 330 122 1 0 60 0 0 RBS3202 S1C1 3 95
CEROVB 11 CEROV 2 401 397 425 302 26 330 122 1 0 60 0 0 RBS3202 S2C1 3 95
CGBRIA 11 CGBRI 1 401 397 425 272 26 300 5 1 1 80 20 0 RBS3202 S1C1 2 125
CGBRIB 11 CGBRI 2 401 397 425 272 26 300 5 1 1 80 0 0 RBS3202 S2C1 2 125
CGBRIC 11 CGBRI 3 401 397 425 272 26 300 5 1 1 80 10 0 RBS3202 S3C1 2 125
CGGRADA 11 CGGRAD 1 423 419 446 283 25 310 288 1 0 60 0 0 RBS3206M S1C1 3 136
CGGRADB 11 CGGRAD 2 423 419 446 283 25 310 288 1 0 60 0 0 RBS3206M S2C1 3 136
CGGRADC 11 CGGRAD 3 423 419 446 284 25 311 288 1 0 60 0 0 RBS3206M S3C1 3 135
CGLAVNA 11 CGLAVN 1 404 400 425 255 23 280 76 1 1 60 60 0 RBS3202 S1C1 3 145
CGLAVNB 11 CGLAVN 2 402 398 425 273 25 300 76 1 1 60 10 0 RBS3202 S2C1 3 125
CGLAVNC 11 CGLAVN 3 400 396 425 271 27 300 76 1 1 60 50 0 RBS3202 S3C1 3 125
CGLAZA 11 CGLAZ 1 406 402 430 282 26 310 390 1 1 80 40 0 RBS6201V2W S1C1 2 120
CGLAZB 11 CGLAZ 2 407 403 430 283 25 310 390 1 1 80 40 0 RBS6201V2W S2C1 2 120
CGLAZC 11 CGLAZ 3 406 402 430 282 26 310 390 1 1 80 40 0 RBS6201V2W S3C1 2 120
CGLAZD 11 CGLAZ 1 406 402 430 282 26 310 390 1 1 80 40 0 RBS6201V2W S1C2 2 120
CGLAZE 11 CGLAZ 2 407 403 430 283 25 310 390 1 1 80 40 0 RBS6201V2W S2C2 2 120
CGLAZF 11 CGLAZ 3 406 402 430 282 26 310 390 1 1 80 40 0 RBS6201V2W S3C2 2 120
CGOMIDA 11 CGOMID 1 407 403 431 272 26 300 193 1 0 60 0 0 RBS3202 S1C1 5 131
CGOMIDB 11 CGOMID 2 407 403 431 272 26 300 193 1 0 60 0 0 RBS3202 S2C1 5 131
CGOMIDC 11 CGOMID 3 407 403 431 272 26 300 193 1 0 60 0 0 RBS3202 S3C1 5 131
CGOMILA 11 CGOMIL 1 411 406 425 291 17 310 189 1 0 60 0 0 RBS3202 S1C1 5 115
CGROBEA 11 CGROBE 1 398 393 425 283 30 315 369 1 0 80 0 0 RBS3202 S1C1 2 110
CGROBEB 11 CGROBE 2 398 393 425 283 30 315 369 1 0 80 0 0 RBS3202 S2C1 2 110
CGROBEC 11 CGROBE 3 398 393 425 283 30 315 369 1 0 80 0 0 RBS3202 S3C1 2 110
CINKARA 11 CINKAR 1 408 404 448 256 42 300 110 1 1 60 20 0 RBS3206 S1C1 3 148
CINKARB 11 CINKAR 2 408 404 448 256 42 300 110 1 1 60 20 0 RBS3206 S2C1 3 148
CINKARC 11 CINKAR 3 408 404 448 246 42 290 110 1 1 60 30 0 RBS3206 S3C1 3 158
CINKARD 11 CINKAR 1 406 402 446 266 42 310 110 1 1 60 20 0 RBS3206 S1C2 3 136
CINKARE 11 CINKAR 2 406 402 446 266 42 310 110 1 1 60 20 0 RBS3206 S2C2 3 136
CINKARF 11 CINKAR 3 406 402 446 256 42 300 110 1 1 60 30 0 RBS3206 S3C2 3 146
CITYA 11 CITY 1 462 458 460 276 2 278 405 0 0 80 0 0 RBS3418 S1C1 2 182
CITYB 11 CITY 2 463 459 460 279 1 280 405 0 0 0 0 0 RBS3418 S2C1 0 180
CITYC 11 CITY 3 463 459 460 279 1 280 405 0 0 0 0 0 RBS3418 S3C1 0 180
CJASOVA 31 CJASOV 1 407 403 425 278 22 300 258 0 0 80 0 0 RBS3202 S1C1 2 125
CJASOVB 31 CJASOV 2 429 425 425 310 0 310 258 0 0 80 0 0 RBS3202 S2C1 2 115
CJELSEA 31 CJELSE 1 414 410 425 285 13 300 259 1 0 60 0 0 RBS3202 S1C1 5 125
CKLADIA 11 CKLADI 1 428 424 448 276 22 300 138 1 1 80 50 0 RBS3206 S1C1 2 148
CKLADIB 11 CKLADI 2 428 424 448 276 22 300 138 1 1 80 30 0 RBS3206 S2C1 2 148
CKLADIC 11 CKLADI 3 428 424 448 276 22 300 138 1 1 80 40 0 RBS3206 S3C1 2 148
CKLADID 11 CKLADI 1 427 422 446 286 22 310 138 1 1 80 50 0 RBS3206 S1C2 2 136
CKLADIE 11 CKLADI 2 427 422 446 286 22 310 138 1 1 80 30 0 RBS3206 S2C2 2 136
CKLADIF 11 CKLADI 3 427 422 446 286 22 310 138 1 1 80 40 0 RBS3206 S3C2 2 136
CKONJA 11 CKONJ 1 395 391 430 271 37 310 114 1 0 60 0 0 RBS6201V2W S1C1 3 120
CKONJB 11 CKONJ 2 395 391 430 271 37 310 114 1 0 60 0 0 RBS6201V2W S2C1 3 120
CKONJC 11 CKONJ 3 395 391 430 271 37 310 114 1 0 60 0 0 RBS6201V2W S3C1 3 120
CKONJD 11 CKONJ 1 395 391 430 276 37 315 114 1 0 60 0 0 RBS6201V2W S1C2 3 115
CKONJE 11 CKONJ 2 395 391 430 276 37 315 114 1 0 60 0 0 RBS6201V2W S2C2 3 115
CKONJF 11 CKONJ 3 395 391 430 276 37 315 114 1 0 60 0 0 RBS6201V2W S3C2 3 115
CKOVINA 11 CKOVIN 1 397 393 425 258 30 290 136 1 1 60 50 0 RBS3202 S1C1 5 135
CKOVINB 11 CKOVIN 2 397 393 425 258 30 290 136 1 1 60 40 0 RBS3202 S2C1 5 135
CKOVINC 11 CKOVIN 3 397 393 425 268 30 300 136 1 1 60 40 0 RBS3202 S3C1 5 125
CKRABA 11 CKRAB 1 414 409 425 304 14 320 17 1 0 60 0 0 RBS3202 S1C1 5 105
CKRALJA 11 CKRALJ 1 408 404 431 263 25 290 173 1 0 60 0 0 RBS3202 S1C1 5 141
CKRALJB 11 CKRALJ 2 408 404 431 263 25 290 173 1 0 60 0 0 RBS3202 S2C1 3 141
CKRALJC 11 CKRALJ 3 408 404 431 273 25 300 173 1 0 60 0 0 RBS3202 S3C1 5 131
CLASKOA 11 CLASKO 1 399 395 430 275 33 310 177 1 0 60 0 0 RBS3206 S1C1 5 120
CLASKOB 11 CLASKO 2 398 394 430 274 34 310 177 1 0 60 0 0 RBS3206 S2C1 5 120
CLASKOC 11 CLASKO 3 398 394 430 274 34 310 177 1 0 60 0 0 RBS3206 S3C1 5 120
CLASKOD 11 CLASKO 1 400 395 430 280 33 315 177 1 0 60 0 0 RBS3206 S1C2 5 115
CLASKOE 11 CLASKO 2 399 394 430 279 34 315 177 1 0 60 0 0 RBS3206 S2C2 5 115
CLASKOF 11 CLASKO 3 399 394 430 279 34 315 177 1 0 60 0 0 RBS3206 S3C2 5 115
CLAVAA 11 CLAVA 1 408 404 430 264 24 290 108 1 1 60 20 0 RBS3107 S1C1 3 140
CLAVAB 11 CLAVA 2 408 404 430 264 24 290 108 1 1 60 40 0 RBS3107 S2C1 3 140
CLAVAC 11 CLAVA 3 408 404 430 264 24 290 108 1 1 60 10 0 RBS3107 S3C1 3 140
CLAVAD 11 CLAVA 1 408 404 430 274 24 300 108 1 1 60 20 0 RBS3107 S1C2 3 130
CLAVAE 11 CLAVA 2 408 404 430 274 24 300 108 1 1 60 40 0 RBS3107 S2C2 3 130
CLAVAF 11 CLAVA 3 408 404 430 274 24 300 108 1 1 60 10 0 RBS3107 S3C2 3 130
CLEVECA 11 CLEVEC 1 393 389 422 267 31 300 300 1 1 60 30 0 RBS3202 S1C1 3 122
CLEVECB 11 CLEVEC 2 402 398 431 267 31 300 300 1 1 60 30 0 RBS3202 S2C1 5 131
CLJUBA 11 CLJUB 1 408 404 425 279 19 300 147 1 0 60 0 0 RBS3202 S1C1 3 125
CLJUBB 11 CLJUB 2 408 404 425 289 19 310 147 1 0 60 0 0 RBS3202 S2C1 3 115
CLOCICA 11 CLOCIC 1 406 402 430 302 26 330 194 1 1 60 0 0 RBS3206M S1C1 5 100
CLOCICB 11 CLOCIC 2 406 402 430 282 26 310 194 1 1 60 20 0 RBS3206M S2C1 5 120
CLOCICC 11 CLOCIC 3 406 402 430 302 26 330 194 1 1 60 0 0 RBS3206M S3C1 5 100
CLOCICD 11 CLOCIC 1 406 402 430 302 26 330 194 1 1 60 0 0 RBS3206M S1C2 5 100
CLOCICE 11 CLOCIC 2 407 402 430 287 26 315 194 1 1 60 20 0 RBS3206M S2C2 5 115
CLOCICF 11 CLOCIC 3 406 402 430 302 26 330 194 1 1 60 0 0 RBS3206M S3C2 5 100
CLOCTUA 31 CLOCTU 1 420 416 446 280 30 310 321 0 0 100 0 0 RBS3206M S1C1 1 136
CLOCTUB 31 CLOCTU 2 418 414 446 278 30 310 321 1 0 100 0 0 RBS3206M S2C1 1 136
CLOGARA 11 CLOGAR 1 396 392 425 277 31 310 84 1 0 60 0 0 RBS3202 S1C1 5 115
CLOGARB 11 CLOGAR 2 396 392 425 277 31 310 84 1 0 60 0 0 RBS3202 S2C1 5 115
CLOZNIA 11 CLOZNI 1 408 404 431 273 25 300 169 1 1 80 20 0 RBS3202 S1C1 2 131
CLOZNIB 11 CLOZNI 2 408 404 431 273 25 300 169 1 1 80 40 0 RBS3202 S2C1 2 131
CLOZNIC 11 CLOZNI 3 408 404 431 273 25 300 169 1 1 80 40 0 RBS3202 S3C1 2 131
CMOCLEA 11 CMOCLE 1 399 395 425 280 28 310 419 1 0 60 0 0 RBS3202 S1C1 3 115
CMOCLEB 11 CMOCLE 2 399 395 425 280 28 310 419 1 0 60 0 0 RBS3202 S2C1 3 115
CMOZITA 11 CMOZIT 1 396 392 425 277 31 310 133 1 0 80 0 0 RBS3202 S1C1 2 115
CMOZITB 11 CMOZIT 2 396 392 425 277 31 310 133 1 0 80 0 0 RBS3202 S2C1 2 115
CMOZITC 11 CMOZIT 3 396 392 425 277 31 310 133 1 0 80 0 0 RBS3202 S3C1 2 115
CNAZARA 11 CNAZAR 1 399 395 425 280 28 310 216 1 0 60 0 0 RBS3202 S1C1 3 115
CNAZARB 11 CNAZAR 2 399 395 425 280 28 310 216 1 0 60 0 0 RBS3202 S2C1 3 115
CNAZARC 11 CNAZAR 3 399 395 425 280 28 310 216 1 0 60 0 0 RBS3202 S3C1 3 115
CNOVAVA 11 CNOVAV 1 395 391 425 276 32 310 244 1 1 60 40 0 RBS3202 S1C1 3 115
CNOVAVB 11 CNOVAV 2 395 391 425 266 32 300 244 1 1 60 30 0 RBS3202 S2C1 3 125
CNOVAVC 11 CNOVAV 3 403 399 433 266 32 300 244 1 1 60 0 0 RBS3202 S3C1 3 133
COBCINA 11 COBCIN 1 410 406 431 275 23 300 299 1 1 60 60 0 RBS3202 S1C1 3 131
COBCINB 11 COBCIN 2 411 407 431 276 22 300 299 1 1 60 60 0 RBS3202 S2C1 3 131
COBCINC 11 COBCIN 3 410 406 431 275 23 300 299 1 1 60 40 0 RBS3202 S3C1 3 131
COSREDA 31 COSRED 1 405 401 431 280 28 310 268 1 0 60 0 0 RBS3202 S1C1 3 121
COSREDB 31 COSRED 2 405 401 431 270 28 300 268 1 0 60 0 0 RBS3202 S2C1 3 131
COSTROA 11 COSTRO 1 405 401 425 276 22 300 232 1 0 80 0 0 RBS3202 S1C1 2 125
COSTROB 11 COSTRO 2 405 401 425 276 22 300 232 1 0 80 0 0 RBS3202 S2C1 2 125
COSTROC 11 COSTRO 3 413 409 433 276 22 300 232 1 0 80 0 0 RBS3202 S3C1 2 133
CPETROA 11 CPETRO 1 426 422 446 276 22 300 153 1 1 60 20 0 RBS3206M S1C1 5 146
CPETROB 11 CPETRO 2 426 422 446 276 22 300 153 1 1 60 20 0 RBS3206M S2C1 5 146
CPETROC 11 CPETRO 3 426 422 446 276 22 300 153 1 1 60 30 0 RBS3206M S3C1 5 146
CPIRESA 11 CPIRES 1 403 399 425 284 24 310 418 1 1 60 0 0 RBS3202 S1C1 5 115
CPIRESB 11 CPIRES 2 400 396 425 286 27 315 418 1 1 60 50 0 RBS3202 S2C1 3 110
CPLANJA 11 CPLANJ 1 410 405 430 275 25 300 367 0 0 100 0 0 RBS3418 S1C1 1 130
CPLANJD 11 CPLANJ 1 410 405 430 285 25 310 367 0 0 100 0 0 RBS3418 S1C2 1 120
CPLETOA 11 CPLETO 1 404 400 431 279 31 310 77 0 0 60 0 0 RBS3202 S1C1 3 121
CPOLZA 11 CPOLZ 1 406 402 430 282 26 310 126 1 0 80 0 0 RBS6201V2W S1C1 2 120
CPOLZB 11 CPOLZ 2 406 402 430 282 26 310 126 1 0 80 0 0 RBS6201V2W S2C1 2 120
CPOLZC 11 CPOLZ 3 406 402 430 282 26 310 126 1 0 80 0 0 RBS6201V2W S3C1 2 120
CPOLZD 11 CPOLZ 1 406 402 430 282 26 310 126 1 0 80 0 0 RBS6201V2W S1C2 2 120
CPOLZE 11 CPOLZ 2 406 402 430 282 26 310 126 1 0 80 0 0 RBS6201V2W S2C2 2 120
CPOLZF 11 CPOLZ 3 406 402 430 282 26 310 126 1 0 80 0 0 RBS6201V2W S3C2 2 120
CPOSTAA 11 CPOSTA 1 417 412 430 282 16 300 118 1 1 60 30 0 RBS3206 S1C1 5 130
CPOSTAB 11 CPOSTA 2 413 408 430 268 22 290 118 0 0 60 0 0 RBS3206 S2C1 5 140
CPOSTAC 11 CPOSTA 3 413 408 430 268 22 290 118 0 0 60 0 0 RBS3206 S3C1 5 140
CPOSTAD 11 CPOSTA 1 417 412 430 292 16 310 118 1 1 60 30 0 RBS3206 S1C2 5 120
CPOSTAE 11 CPOSTA 2 413 408 430 278 22 300 118 0 0 60 0 0 RBS3206 S2C2 5 130
CPOSTAF 11 CPOSTA 3 413 408 430 278 22 300 118 0 0 60 0 0 RBS3206 S3C2 5 130
CPREBOA 11 CPREBO 1 386 382 425 267 41 310 123 1 0 60 0 0 RBS3202 S1C1 5 115
CPREBOB 11 CPREBO 2 387 383 425 268 40 310 123 1 0 60 0 0 RBS3202 S2C1 5 115
CPREBOC 11 CPREBO 3 388 384 425 269 39 310 123 1 0 60 0 0 RBS3202 S3C1 5 115
CRECICA 11 CRECIC 1 399 395 425 280 28 310 407 1 0 60 0 0 RBS3202 S1C1 5 115
CRECICB 11 CRECIC 2 399 395 425 280 28 310 407 1 0 60 0 0 RBS3202 S2C1 5 115
CROGASA 11 CROGAS 1 399 395 425 280 28 310 190 1 0 80 0 0 RBS3202 S1C1 4 115
CROGASB 11 CROGAS 2 399 395 425 280 28 310 190 1 0 80 0 0 RBS3202 S2C1 2 115
CROGSIA 11 CROGSI 1 400 396 431 275 33 310 324 1 0 60 0 0 RBS3202 S1C1 5 121
CROGSIB 11 CROGSI 2 400 396 431 265 33 300 324 1 0 60 0 0 RBS3202 S2C1 5 131
CROGSIC 11 CROGSI 3 400 396 431 265 33 300 324 1 0 60 0 0 RBS3202 S3C1 5 131
CROGSLA 11 CROGSL 1 404 400 425 285 23 310 29 1 0 60 0 0 RBS3202 S1C1 3 115
CROGSLB 11 CROGSL 2 404 400 425 285 23 310 29 1 0 60 0 0 RBS3202 S2C1 3 115
CROGSLC 11 CROGSL 3 404 400 425 285 23 310 29 1 0 60 0 0 RBS3202 S3C1 3 115
CROGTVA 11 CROGTV 1 413 409 431 288 20 310 301 1 0 60 0 0 RBS3202 S1C1 3 121
CSEJEMA 11 CSEJEM 1 404 400 425 265 23 290 119 1 1 60 20 0 RBS3202 S1C1 3 135
CSEJEMB 11 CSEJEM 2 404 400 425 265 23 290 119 1 1 60 20 0 RBS3202 S2C1 3 135
CSEJEMC 11 CSEJEM 3 404 400 425 265 23 290 119 1 1 60 10 0 RBS3202 S3C1 3 135
CSEJEMD 11 CSEJEM 1 403 399 424 260 23 285 119 1 1 60 20 0 RBS3202 S1C2 3 139
CSEJEME 11 CSEJEM 2 403 399 424 260 23 285 119 1 1 60 20 0 RBS3202 S2C2 3 139
CSEJEMF 11 CSEJEM 3 403 399 424 260 23 285 119 1 1 60 10 0 RBS3202 S3C2 3 139
CSEMPA 11 CSEMP 1 397 393 425 278 30 310 112 1 1 60 30 0 RBS3202 S1C1 5 115
CSEMPB 11 CSEMP 2 397 393 425 278 30 310 112 1 1 60 0 0 RBS3202 S2C1 3 115
CSEMPC 11 CSEMP 3 397 393 425 278 30 310 112 1 1 60 20 0 RBS3202 S3C1 5 115
CSENTA 11 CSENT 1 371 367 400 277 31 310 72 1 0 60 0 0 RBS6201V2W S1C1 3 90
CSENTB 11 CSENT 2 371 367 400 267 31 300 72 1 0 60 0 0 RBS6201V2W S2C1 3 100
CSENTC 11 CSENT 3 371 367 400 267 31 300 72 1 0 60 0 0 RBS6201V2W S3C1 3 100
CSENTD 11 CSENT 1 371 367 400 244 31 277 72 1 0 60 0 0 RBS6201V2W S1C2 3 123
CSENTE 11 CSENT 2 371 367 400 234 31 267 72 1 0 60 0 0 RBS6201V2W S2C2 3 133
CSENTF 11 CSENT 3 371 367 400 234 31 267 72 1 0 60 0 0 RBS6201V2W S3C2 3 133
CSKOFJA 11 CSKOFJ 1 393 389 425 264 34 300 163 1 1 60 20 0 RBS3202 S1C1 3 125
CSKOFJB 11 CSKOFJ 2 393 389 425 264 34 300 163 1 1 60 20 0 RBS3202 S2C1 3 125
