cell rnc site sec maxpwr(rnc) zaresmoc(rbs) zaresmoc+kabel+asc pilot kabel pilot+kabel rbsid asc ret maxtilt tilt mechanical bazna sect antena pildbpa
ACITYPA 21 ACITYP 1 396 391 400 271 9 280 261 0 0 100 0 0 RBS3412 S1C1 1 120
ACITYPB 21 ACITYP 2 401 396 400 276 4 280 261 0 0 100 0 0 RBS3412 S2C1 1 120
ACITYPC 21 ACITYP 3 357 352 400 232 48 280 261 0 0 100 0 0 RBS3412 S3C1 1 120
ACRGMAA 21 ACRGMA 1 421 417 448 259 29 290 132 1 1 80 50 0 RBS3206 S1C1 4 158
ACRGMAB 21 ACRGMA 2 419 415 446 259 29 290 132 1 1 80 40 0 RBS3206 S2C1 4 156
ACRGMAD 21 ACRGMA 1 419 415 446 269 29 300 132 1 1 80 50 0 RBS3206 S1C2 4 146
ACRGMAE 21 ACRGMA 2 421 417 448 269 29 300 132 1 1 80 40 0 RBS3206 S2C2 4 148
ACRNUCA 21 ACRNUC 1 420 416 431 275 13 290 63 1 1 60 10 0 RBS3202 S1C1 5 141
ACRNUCB 21 ACRNUC 2 421 417 431 286 12 300 63 1 1 60 40 0 RBS3202 S2C1 5 131
ACRNUCC 21 ACRNUC 3 420 416 431 285 13 300 63 1 1 60 40 0 RBS3202 S3C1 5 131
ADELOA 21 ADELO 1 425 421 446 264 23 289 64 1 1 80 30 0 RBS3206 S1C1 2 157
ADELOB 21 ADELO 2 440 435 446 289 9 300 64 1 1 80 60 0 RBS3206 S2C1 2 146
ADELOC 21 ADELO 3 436 432 448 284 14 300 64 1 0 80 0 0 RBS3206 S3C1 2 148
ADELOD 21 ADELO 1 427 423 448 275 23 300 64 1 1 80 30 0 RBS3206 S1C2 2 148
ADELOE 21 ADELO 2 441 437 448 279 9 290 64 1 1 80 60 0 RBS3206 S2C2 2 158
ADNEVNA 21 ADNEVN 1 400 396 430 256 32 290 3 1 1 60 30 0 RBS3202 S1C1 3 140
ADNEVNB 21 ADNEVN 2 401 397 431 256 32 290 3 1 1 60 30 0 RBS3202 S2C1 3 141
ADNEVNC 21 ADNEVN 3 406 402 431 261 27 290 3 1 1 60 60 0 RBS3202 S3C1 3 141
ADOLGIA 21 ADOLGI 1 406 402 430 260 28 288 28 0 0 60 0 0 RBS6201V2W S1C1 5 142
ADOLGIB 21 ADOLGI 2 406 402 430 270 28 298 28 0 0 60 0 0 RBS6201V2W S2C1 5 132
ADOLGIC 21 ADOLGI 3 406 402 430 260 28 288 28 0 0 60 0 0 RBS6201V2W S3C1 5 142
ADOLGID 21 ADOLGI 1 406 402 430 270 28 298 28 0 0 60 0 0 RBS6201V2W S1C2 5 132
ADOLGIE 21 ADOLGI 2 406 402 430 280 28 308 28 0 0 60 0 0 RBS6201V2W S2C2 5 122
ADOLGIF 21 ADOLGI 3 406 402 430 270 28 298 28 0 0 60 0 0 RBS6201V2W S3C2 5 132
ADRAVA 21 ADRAV 1 402 398 431 267 31 300 59 1 1 80 30 0 RBS3202 S1C1 2 131
ADRAVB 21 ADRAV 2 403 398 431 277 31 310 59 1 1 80 70 0 RBS3202 S2C1 2 121
ADRAVC 21 ADRAV 3 402 398 431 267 31 300 59 1 1 80 50 0 RBS3202 S3C1 2 131
ADRAVCA 21 ADRAVC 1 432 428 430 288 2 290 321 0 0 100 0 0 RBS6601W S1C1 1 140
ADRAVCB 21 ADRAVC 2 432 428 430 288 2 290 321 0 0 100 0 0 RBS6601W S2C1 1 140
ADRAVCC 21 ADRAVC 3 432 428 430 288 2 290 321 0 0 100 0 0 RBS6601W S3C1 1 140
ADRAVCD 21 ADRAVC 1 432 428 430 288 2 290 321 0 0 100 0 0 RBS6601W S1C2 1 140
ADRAVCE 21 ADRAVC 2 432 428 430 288 2 290 321 0 0 100 0 0 RBS6601W S2C2 1 140
ADRAVCF 21 ADRAVC 3 432 428 430 288 2 290 321 0 0 100 0 0 RBS6601W S3C2 1 140
AEJATAA 21 AEJATA 1 418 413 446 257 31 290 232 1 1 60 30 0 RBS3206 S1C1 3 156
AEJATAB 21 AEJATA 2 428 423 446 277 21 300 232 1 1 60 40 0 RBS3206 S2C1 3 146
AEJATAC 21 AEJATA 3 418 413 446 267 31 300 232 1 1 60 40 0 RBS3206 S3C1 5 146
AEJATAD 21 AEJATA 1 418 413 446 267 31 300 232 1 1 60 30 0 RBS3206 S1C2 3 146
AEJATAE 21 AEJATA 2 428 423 446 287 21 310 232 1 1 60 40 0 RBS3206 S2C2 3 136
AEJATAF 21 AEJATA 3 418 413 446 277 31 310 232 1 1 60 40 0 RBS3206 S3C2 5 136
AELNAA 21 AELNA 1 399 395 448 247 51 300 38 1 1 80 40 0 RBS3206 S1C1 2 148
AELNAB 21 AELNA 2 399 395 448 257 51 310 38 1 1 80 50 0 RBS3206 S2C1 2 138
AELNAC 21 AELNA 3 399 395 448 247 51 300 38 1 1 80 40 0 RBS3206 S3C1 2 148
AELNAD 21 AELNA 1 400 395 448 267 51 320 38 1 1 80 40 0 RBS3206 S1C2 2 128
AELNAE 21 AELNA 2 400 395 448 267 51 320 38 1 1 80 50 0 RBS3206 S2C2 2 128
AELNAF 21 AELNA 3 400 395 448 257 51 310 38 1 1 80 40 0 RBS3206 S3C2 2 138
AELOKA 21 AELOK 1 398 394 431 263 35 300 80 1 1 60 40 0 RBS3202 S1C1 5 131
AELOKB 21 AELOK 2 398 394 431 263 35 300 80 1 1 60 40 0 RBS3202 S2C1 5 131
AELOKC 21 AELOK 3 398 394 431 263 35 300 80 1 1 60 50 0 RBS3202 S3C1 5 131
AFORDA 21 AFORD 1 416 412 446 256 32 290 113 1 1 80 30 0 RBS3206 S1C1 2 156
