CELL, rnc, site, sec, maxpwr(rnc), zaresmoc(rbs), zaresmoc+kabel+asc, pilot, kabel, pilot+kabel, rbsid, asc, ret, maxtilt, tilt, mechanical, bazna, sect, antena
CKLADIC 11 CKLADI 3 428 424 446 276 22 300 138 1 1 80 20 0 RBS3206 S3C1 2
CKLADID 11 CKLADI 1 426 422 444 276 22 300 138 1 1 80 30 0 RBS3206 S1C2 2
CKLADIE 11 CKLADI 2 426 422 444 276 22 300 138 1 1 80 20 0 RBS3206 S2C2 2
CKLADIF 11 CKLADI 3 426 422 444 276 22 300 138 1 1 80 20 0 RBS3206 S3C2 2
CKONJA 11 CKONJ 1 395 391 428 271 37 310 114 1 0 60 0 0 RBS3216 S1C1 3
CKONJB 11 CKONJ 2 395 391 428 271 37 310 114 1 0 60 0 0 RBS3216 S2C1 3
CKONJC 11 CKONJ 3 395 391 428 271 37 310 114 1 0 60 0 0 RBS3216 S3C1 3
CKONJD 11 CKONJ 1 395 391 428 276 37 315 114 1 0 60 0 0 RBS3216 S1C2 3
CKONJE 11 CKONJ 2 395 391 428 276 37 315 114 1 0 60 0 0 RBS3216 S2C2 3
CKONJF 11 CKONJ 3 395 391 428 276 37 315 114 1 0 60 0 0 RBS3216 S3C2 3
CKOVINA 11 CKOVIN 1 397 393 423 258 30 290 136 1 1 60 50 0 RBS3202 S1C1 5
CKOVINB 11 CKOVIN 2 397 393 423 258 30 290 136 1 1 60 40 0 RBS3202 S2C1 5
CKOVINC 11 CKOVIN 3 397 393 423 268 30 300 136 1 1 60 40 0 RBS3202 S3C1 5
CKRABA 11 CKRAB 1 413 409 423 284 14 300 17 1 0 60 0 0 RBS3202 S1C1 5
CKRABB 11 CKRAB 2 413 409 423 284 14 300 17 1 0 60 0 0 RBS3202 S2C1 5
CKRALJA 11 CKRALJ 1 408 404 429 263 25 290 173 1 0 60 0 0 RBS3202 S1C1 5
CKRALJB 11 CKRALJ 2 408 404 429 263 25 290 173 1 0 60 0 0 RBS3202 S2C1 3
CKRALJC 11 CKRALJ 3 408 404 429 273 25 300 173 1 0 60 0 0 RBS3202 S3C1 5
CLASKOA 11 CLASKO 1 399 395 428 275 33 310 177 1 0 60 0 0 RBS3206 S1C1 3
CLASKOB 11 CLASKO 2 398 394 428 274 34 310 177 1 0 60 0 0 RBS3206 S2C1 3
CLASKOC 11 CLASKO 3 398 394 428 274 34 310 177 1 0 60 0 0 RBS3206 S3C1 3
CLASKOD 11 CLASKO 1 399 395 428 275 33 310 177 1 0 60 0 0 RBS3206 S1C2 3
CLASKOE 11 CLASKO 2 398 394 428 274 34 310 177 1 0 60 0 0 RBS3206 S2C2 3
CLASKOF 11 CLASKO 3 398 394 428 274 34 310 177 1 0 60 0 0 RBS3206 S3C2 3
CLAVAA 11 CLAVA 1 408 404 428 264 24 290 108 1 1 60 20 0 RBS3107 S1C1 3
CLAVAB 11 CLAVA 2 408 404 428 264 24 290 108 1 1 60 40 0 RBS3107 S2C1 3
CLAVAC 11 CLAVA 3 408 404 428 264 24 290 108 1 1 60 10 0 RBS3107 S3C1 3
